x,y
1607,14832
2833,24722
1788,18215
2697,21451
1606,16490
2093,21049
2052,17339
1336,15936
2872,26659
1640,18315
1254,14249
886,11409
804,12479
224,8658
2278,16459
977,13086
953,13172
1762,18074
103,8569
995,13620
761,11158
2263,22663
775,9024
2567,21724
453,9832
1689,19406
1852,14822
343,8841
405,9390
2089,19055
1058,13340
2381,19392
1328,13932
1320,13908
2400,19970
791,13367
2559,20698
237,7159
511,10974
939,13800
1745,14170
2693,22179
2394,17788
2949,22721
1769,14783
767,11926
2810,23659
642,10824
2437,18116
1003,12209
2909,26781
1912,17334
1718,17070
462,10374
1521,14403
620,9478
1624,13554
286,8755
142,6646
6,7595
750,10347
2094,18671
1037,12965
1333,14981
518,8427
1790,19272
164,6036
1998,19532
2801,21317
2235,22545
648,11508
82,6890
2842,26674
1231,15381
2025,17516
1986,19622
1908,14771
1429,13416
811,9665
2559,20082
770,10089
2962,23338
199,7095
2577,19884
488,8285
2735,21840
2230,19552
1359,17471
109,6568
1681,17781
1299,12595
640,9180
192,8455
1310,13236
1058,11033
151,6587
427,9912
940,12304
1376,17016
286,9702
2236,20864
2380,19403
1972,19111
665,10579
2599,19185
39,5359
1663,17369
2939,21760
1483,15885
2192,22257
925,13354
1430,13832
820,11781
2296,16790
2475,22045
1851,16689
456,8672
1867,15587
1788,17590
2262,17509
316,9636
2621,20605
864,11369
1602,17248
2756,23882
2447,23542
2603,22269
1259,14100
690,10754
1148,13200
1243,14432
1049,14757
265,6928
1785,16569
1288,15704
1321,14439
900,10966
2778,21773
2764,19068
682,11443
890,12585
2756,19092
669,9990
2464,19527
24,6316
335,8094
282,8287
2289,20973
1614,17242
672,11212
580,10176
467,10259
799,9412
2883,26741
39,6307
927,11795
2646,22412
2961,21552
821,11965
917,12774
1617,16011
1033,13644
1212,13833
744,10506
2384,21847
1987,20034
569,11523
2306,16694
2975,23374
2553,24253
2232,20741
1608,16796
2006,15169
261,9300
661,10503
730,13047
2515,19961
714,9855
2968,27075
362,8652
1153,13300
1751,18691
338,7109
1522,15684
85,5859
959,11952
879,12029
1609,17505
2440,20172
1655,15935
2654,23965
1899,18857
510,9166
2178,20885
253,8712
1758,15450
1730,16289
882,11181
1769,19638
816,11780
963,12450
2958,27421
1466,15791
1201,13961
1694,15495
2574,25597
396,7432
2313,20817
1454,14831
1384,12136
525,10157
1743,17659
846,9545
776,9981
2260,18898
2642,24200
1308,12138
2150,22615
94,7234
2725,21386
2372,19352
594,9304
2854,20571
1854,18167
95,5959
340,7547
961,11806
2816,22436
658,11349
149,6595
1830,16653
1781,17398
306,8597
1102,13243
539,10553
2544,18486
352,8390
747,10974
1473,14861
2663,24385
2422,23829
1327,15706
336,8862
516,9268
445,8418
1303,12375
933,11771
325,7912
812,12074
1049,10461
2837,20371
2846,25029
2107,18520
2118,22538
2090,18295
2001,16492
1403,15292
1387,16202
362,7149
544,10069
882,10541
554,10764
2215,18362
2048,19708
1121,12450
1944,20433
1622,13701
736,10474
2305,22442
2821,24590
530,10572
828,11147
213,8590
1725,18951
2466,22641
1102,13545
2889,21043
2942,22718
2358,23474
833,10632
1844,17847
2294,19448
112,8211
1842,20251
374,8769
2773,23103
1292,16121
544,8748
2797,26114
2147,21019
57,7659
202,6834
1332,12163
1113,14039
368,8830
2723,21285
1522,17006
1005,14383
2568,23723
2667,25069
178,8562
1674,13915
2385,23540
2132,19259
1539,14595
1691,17495
1486,14832
2158,19385
1082,10590
2490,22119
985,13254
69,6479
683,10125
2267,19163
749,11824
2829,22676
1965,18811
2670,23800
1321,14821
2900,23776
2645,25731
925,13616
501,8743
103,7757
2535,21747
2635,21158
409,10576
1435,16604
2160,20153
738,11148
2545,23209
2448,18871
2990,21093
1498,15504
1012,13383
389,7969
2825,24818
1108,13050
1523,18108
1612,15004
921,10134
526,9341
2437,18287
448,9774
2404,18799
637,9826
3000,21170
2456,21313
356,9366
1577,15393
2574,20846
1399,15648
911,12419
2178,19019
388,8850
2707,25723
1055,12577
1276,11595
2572,18522
2669,23939
2190,18342
2134,20769
2213,18411
1786,20181
234,6618
2293,22754
2619,24760
2828,19479
2058,17658
853,11878
1013,12871
2132,22736
403,7441
1588,17165
1659,17876
2833,19278
2252,21037
1895,19159
122,7628
2272,19978
310,7494
68,8030
363,8759
1626,19052
2864,27597
2135,18465
2588,20775
1228,13052
1254,14843
2589,19602
387,7869
249,9037
1013,13335
2925,23291
734,9166
1009,14008
1665,18258
652,11341
989,14616
2582,25895
1317,15832
2775,26805
187,8608
850,12076
2339,17568
1230,11922
401,9981
324,10121
1398,13269
375,7279
2960,23947
598,10646
583,9391
688,9347
864,11235
235,7123
1631,17328
449,9992
2052,20904
183,8409
2261,23806
2736,25159
1370,17583
1110,11097
2134,19525
1492,13274
541,9343
1138,15859
1075,14193
1911,17283
1893,19927
1347,15482
897,9649
2954,27388
1018,12856
2827,26758
1116,10671
224,8922
816,11585
1096,14494
365,7772
670,11288
749,12796
2688,26026
1066,11733
1437,17155
2462,20192
2763,20603
1273,16340
930,14134
1148,15529
1085,12115
871,9467
2211,22022
2761,21615
2200,20595
2573,19368
86,7916
905,12353
392,10236
1223,12336
2637,21584
227,6704
2646,20244
1146,12438
2472,24255
1047,12074
642,9078
1761,15889
1026,11621
1952,20435
1889,16551
1072,12966
118,7462
1413,13409
1711,16150
1698,14983
1510,16196
1733,14889
2891,25242
1205,11391
782,12065
2842,21897
678,11089
2120,16733
553,10183
2406,18829
61,6347
1954,17734
358,10168
898,13341
2689,25963
2777,21919
285,9028
1907,17270
945,13155
1422,14558
662,11847
57,7976
2784,24555
865,13744
1894,17504
887,12541
2019,17912
911,11001
830,10473
356,7693
1965,17583
422,10126
576,11363
1588,18516
2509,22756
2422,19726
644,10262
2277,22033
2175,18572
2305,19552
1167,10877
1219,16357
348,8041
2978,22424
1139,13305
658,9804
1222,14557
1122,12660
465,11198
484,9087
2038,15619
1954,16460
1447,16216
1082,13000
